ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
290,9,3,Y,Y,Y,Y,N,171,N
291,9,3,Y,Y,N,Y,Y,236,N
292,9,3,Y,Y,Y,Y,N,359,N
293,9,3,Y,Y,Y,Y,Y,486,N
294,9,4,Y,Y,N,Y,N,360,N
295,9,4,Y,Y,N,Y,N,562,N
296,9,4,Y,Y,Y,,Y,317,N
297,9,4,Y,Y,N,Y,N,145,N
298,9,4,Y,N,Y,Y,Y,257,N
299,9,4,Y,N,Y,N,Y,146,N
300,9,4,N,Y,Y,N,Y,359,N
301,9,5,Y,Y,Y,Y,Y,655,N
302,9,5,N,N,N,Y,Y,614,Y
303,9,5,N,,Y,Y,Y,343,N
304,9,5,Y,N,N,Y,N,688,Y
305,9,5,Y,Y,Y,Y,Y,283,N
306,9,5,Y,N,N,Y,,196,N
307,9,5,Y,Y,Y,N,Y,324,N
308,9,4,Y,N,N,Y,N,206,N
309,9,3,Y,N,Y,N,N,197,N
310,9,4,Y,,Y,N,Y,375,N
311,9,5,Y,Y,N,Y,N,360,N
312,9,4,Y,Y,N,N,Y,433,N
313,9,3,Y,N,N,N,Y,602,Y
314,9,4,Y,Y,Y,Y,Y,152,N
315,9,5,Y,Y,Y,Y,,274,N
316,9,4,Y,Y,Y,Y,Y,123,N
317,9,3,Y,Y,N,Y,N,120,N
318,9,4,Y,Y,Y,Y,Y,318,N
319,9,5,Y,Y,Y,N,Y,239,N
320,9,5,Y,Y,Y,N,N,262,N
321,9,3,Y,Y,Y,Y,Y,234,N
322,9,4,Y,Y,Y,Y,N,162,N
323,9,5,Y,Y,Y,Y,Y,319,N
324,9,3,Y,Y,Y,Y,Y,137,N
325,9,4,N,Y,Y,Y,N,186,N
326,9,1,Y,Y,Y,N,N,336,N
327,9,4,Y,Y,Y,Y,N,235,N
328,10,4,Y,N,Y,N,Y,199,N
329,10,4,Y,Y,Y,Y,Y,291,N
330,10,4,Y,N,Y,,Y,162,N
331,10,4,N,N,Y,N,Y,361,Y
332,10,5,Y,N,Y,Y,Y,429,N
333,10,1,Y,Y,Y,Y,Y,386,N
334,10,5,Y,N,Y,N,N,455,N
335,10,5,Y,Y,Y,Y,N,455,N
336,10,5,Y,Y,Y,N,Y,370,N
337,10,4,Y,Y,Y,N,Y,430,N
338,10,3,N,Y,Y,N,Y,147,N
339,10,5,N,Y,Y,N,Y,167,N
340,10,5,Y,Y,N,Y,Y,340,N
341,10,3,Y,N,Y,Y,Y,290,N
342,10,4,N,N,Y,,N,326,Y
343,10,3,Y,Y,Y,N,N,502,N
344,10,4,Y,Y,Y,Y,Y,575,N
345,10,5,Y,Y,Y,N,Y,443,N
346,10,4,Y,Y,N,Y,,263,N
347,10,5,Y,Y,N,Y,Y,281,N
348,10,4,Y,Y,N,Y,Y,219,N
349,10,3,Y,Y,Y,Y,N,313,N
350,10,2,Y,Y,Y,Y,Y,260,N
351,10,3,Y,Y,Y,Y,N,143,N
352,10,4,N,Y,Y,Y,Y,579,N
353,10,4,N,N,Y,Y,N,467,N
354,10,5,Y,Y,Y,Y,N,358,N
355,10,4,Y,N,Y,Y,,134,N
356,10,3,Y,N,Y,N,Y,158,N
357,10,4,Y,Y,Y,Y,N,691,N
358,10,5,Y,Y,Y,Y,N,326,N
359,10,4,Y,Y,Y,N,N,449,N
360,10,3,Y,Y,Y,Y,Y,374,N
361,10,4,Y,Y,N,N,N,441,N
362,10,5,Y,Y,Y,Y,,435,N
363,10,4,Y,Y,Y,Y,Y,630,N
364,10,4,Y,N,N,N,,259,Y
365,10,4,Y,Y,Y,Y,N,158,N
366,10,4,Y,Y,Y,Y,Y,556,N
367,10,4,N,N,Y,Y,N,430,Y
368,10,3,Y,Y,Y,Y,Y,474,N
369,10,3,Y,Y,N,Y,Y,623,N
370,10,3,Y,Y,N,N,Y,271,N
371,10,5,Y,Y,Y,Y,N,340,N
372,10,3,N,N,N,N,Y,403,Y
373,10,5,N,Y,N,Y,Y,663,N
374,10,5,Y,N,Y,Y,Y,278,N
375,10,5,N,N,Y,Y,Y,242,N
376,10,4,Y,Y,Y,N,N,371,N
377,10,3,Y,Y,Y,Y,Y,351,N
378,10,4,Y,Y,Y,N,Y,373,N
379,10,5,Y,Y,Y,Y,N,334,N
380,10,4,N,Y,Y,Y,Y,601,N
381,10,3,Y,Y,N,N,Y,395,N
382,10,2,Y,Y,Y,Y,N,407,N
383,10,3,Y,Y,N,Y,Y,653,N
384,10,4,Y,Y,Y,Y,N,560,N
385,10,4,Y,Y,Y,N,Y,650,N
386,10,4,Y,Y,Y,Y,Y,233,N
387,10,5,Y,N,Y,N,Y,614,N
388,10,4,Y,Y,N,Y,Y,252,N
389,10,3,Y,Y,Y,Y,Y,340,N
390,10,4,Y,Y,Y,Y,Y,177,N
391,10,5,Y,Y,Y,Y,Y,148,N
392,10,4,Y,Y,Y,Y,Y,367,N
393,10,3,Y,Y,N,Y,Y,161,N
394,10,4,Y,Y,Y,Y,Y,531,N
395,10,4,Y,Y,Y,N,N,152,N
396,10,4,N,Y,N,Y,N,276,Y
397,10,5,Y,Y,N,Y,N,522,N
398,10,5,Y,Y,Y,Y,Y,645,N
399,10,5,Y,Y,Y,N,,379,N
400,10,3,Y,Y,Y,N,Y,303,N
401,10,3,Y,,Y,Y,Y,188,N
402,10,3,Y,N,N,Y,,629,N
403,10,2,Y,N,Y,N,N,185,N
404,10,2,Y,N,Y,N,N,318,N
405,10,3,Y,Y,Y,Y,Y,356,N
406,10,1,Y,N,Y,N,Y,153,N
407,10,5,N,N,N,N,N,461,Y
